station,valid,sped
MAF,2021-02-12 03:53,6.90
MAF,2021-02-12 04:53,6.90
MAF,2021-02-12 05:53,10.35
MAF,2021-02-12 06:39,11.50
MAF,2021-02-12 06:49,12.65
MAF,2021-02-12 06:53,12.65
MAF,2021-02-12 07:20,11.50
MAF,2021-02-12 07:53,11.50
MAF,2021-02-12 08:04,12.65
MAF,2021-02-12 08:53,11.50
MAF,2021-02-12 09:03,13.80
MAF,2021-02-12 09:11,12.65
MAF,2021-02-12 09:53,13.80
MAF,2021-02-12 10:53,14.95
MAF,2021-02-12 11:14,19.55
MAF,2021-02-12 11:53,16.10
MAF,2021-02-12 12:01,17.25
MAF,2021-02-12 12:11,17.25
MAF,2021-02-12 12:53,12.65
MAF,2021-02-12 13:08,14.95
MAF,2021-02-12 13:49,14.95
MAF,2021-02-12 13:53,12.65
MAF,2021-02-12 14:22,14.95
MAF,2021-02-12 14:53,13.80
MAF,2021-02-12 15:53,16.10
MAF,2021-02-12 16:53,17.25
MAF,2021-02-12 17:53,13.80
MAF,2021-02-12 18:53,12.65
MAF,2021-02-12 19:53,13.80
MAF,2021-02-12 20:53,12.65
MAF,2021-02-12 22:53,12.65
MAF,2021-02-12 23:01,10.35
MAF,2021-02-12 23:17,12.65
MAF,2021-02-12 23:53,11.50
MAF,2021-02-13 00:53,10.35
MAF,2021-02-13 01:53,9.20
MAF,2021-02-13 02:04,9.20
MAF,2021-02-13 02:11,10.35
MAF,2021-02-13 02:53,10.35
MAF,2021-02-13 03:08,10.35
MAF,2021-02-13 03:39,10.35
MAF,2021-02-13 03:53,11.50
MAF,2021-02-13 04:53,11.50
MAF,2021-02-13 05:53,10.35
MAF,2021-02-13 06:24,11.50
MAF,2021-02-13 06:35,11.50
MAF,2021-02-13 06:53,10.35
MAF,2021-02-13 07:20,10.35
MAF,2021-02-13 07:30,10.35
MAF,2021-02-13 07:53,10.35
MAF,2021-02-13 08:01,10.35
MAF,2021-02-13 08:53,12.65
MAF,2021-02-13 09:05,10.35
MAF,2021-02-13 09:20,11.50
MAF,2021-02-13 09:36,11.50
MAF,2021-02-13 09:48,13.80
MAF,2021-02-13 09:53,13.80
MAF,2021-02-13 10:29,11.50
MAF,2021-02-13 10:40,11.50
MAF,2021-02-13 10:53,8.05
MAF,2021-02-13 11:53,12.65
MAF,2021-02-13 12:53,10.35
MAF,2021-02-13 13:15,10.35
MAF,2021-02-13 13:29,11.50
MAF,2021-02-13 13:53,13.80
MAF,2021-02-13 14:53,16.10
MAF,2021-02-13 15:09,12.65
MAF,2021-02-13 15:38,16.10
MAF,2021-02-13 15:53,18.40
MAF,2021-02-13 16:40,12.65
MAF,2021-02-13 16:53,9.20
MAF,2021-02-13 17:23,9.20
MAF,2021-02-13 17:53,10.35
MAF,2021-02-13 18:53,10.35
MAF,2021-02-13 19:53,11.50
MAF,2021-02-13 20:53,13.80
MAF,2021-02-13 21:25,12.65
MAF,2021-02-13 21:53,9.20
MAF,2021-02-13 22:53,11.50
MAF,2021-02-13 23:53,11.50
MAF,2021-02-14 00:53,11.50
MAF,2021-02-14 01:53,17.25
MAF,2021-02-14 02:53,12.65
MAF,2021-02-14 03:07,13.80
MAF,2021-02-14 03:24,14.95
MAF,2021-02-14 03:53,11.50
MAF,2021-02-14 04:53,14.95
MAF,2021-02-14 05:53,16.10
MAF,2021-02-14 05:59,20.70
MAF,2021-02-14 06:53,20.70
MAF,2021-02-14 07:53,14.95
MAF,2021-02-14 08:04,16.10
MAF,2021-02-14 08:30,19.55
MAF,2021-02-14 08:51,14.95
MAF,2021-02-14 08:53,14.95
MAF,2021-02-14 09:07,17.25
MAF,2021-02-14 09:31,21.85
MAF,2021-02-14 09:53,17.25
MAF,2021-02-14 10:23,12.65
MAF,2021-02-14 10:53,14.95
MAF,2021-02-14 11:34,18.40
MAF,2021-02-14 11:46,20.70
MAF,2021-02-14 11:53,20.70
MAF,2021-02-14 12:53,18.40
MAF,2021-02-14 13:53,14.95
MAF,2021-02-14 14:00,19.55
MAF,2021-02-14 14:46,19.55
MAF,2021-02-14 14:53,23.00
MAF,2021-02-14 15:25,17.25
MAF,2021-02-14 15:53,21.85
MAF,2021-02-14 16:46,23.00
MAF,2021-02-14 16:53,21.85
MAF,2021-02-14 17:21,20.70
MAF,2021-02-14 17:53,18.40
MAF,2021-02-14 18:53,18.40
MAF,2021-02-14 19:53,20.70
MAF,2021-02-14 20:53,16.10
MAF,2021-02-14 21:37,16.10
MAF,2021-02-14 21:48,14.95
MAF,2021-02-14 21:53,17.25
MAF,2021-02-14 22:08,14.95
MAF,2021-02-14 22:20,16.10
MAF,2021-02-14 22:48,16.10
MAF,2021-02-14 22:53,14.95
MAF,2021-02-14 22:57,14.95
MAF,2021-02-14 23:02,13.80
MAF,2021-02-14 23:53,19.55
MAF,2021-02-15 00:53,11.50
MAF,2021-02-15 01:29,18.40
MAF,2021-02-15 01:45,17.25
MAF,2021-02-15 01:53,14.95
MAF,2021-02-15 02:53,12.65
MAF,2021-02-15 03:53,6.90
MAF,2021-02-15 04:53,12.65
MAF,2021-02-15 05:53,14.95
MAF,2021-02-15 06:53,11.50
MAF,2021-02-15 07:53,9.20
MAF,2021-02-15 08:53,9.20
MAF,2021-02-15 09:53,8.05
MAF,2021-02-15 10:53,5.75
MAF,2021-02-15 11:53,8.05
MAF,2021-02-15 12:53,9.20
MAF,2021-02-15 15:53,3.45
MAF,2021-02-15 16:53,0.00
MAF,2021-02-15 17:53,0.00
MAF,2021-02-15 18:53,6.90
MAF,2021-02-15 19:45,5.75
MAF,2021-02-15 20:53,3.45
MAF,2021-02-15 21:53,4.60
MAF,2021-02-15 22:53,3.45
MAF,2021-02-15 23:53,4.60
MAF,2021-02-16 12:53,9.20
MAF,2021-02-16 13:53,8.05
MAF,2021-02-16 14:53,9.20
MAF,2021-02-16 15:53,11.50
MAF,2021-02-16 17:53,10.35
MAF,2021-02-16 18:53,11.50
MAF,2021-02-16 19:53,12.65
MAF,2021-02-16 21:00,10.35
MAF,2021-02-16 22:00,16.10
MAF,2021-02-16 22:53,20.70
MAF,2021-02-16 23:53,17.25
MAF,2021-02-17 00:53,9.20
MAF,2021-02-17 00:55,M
MAF,2021-02-17 01:53,6.90
MAF,2021-02-17 02:53,5.75
MAF,2021-02-17 03:53,5.75
MAF,2021-02-17 04:53,4.60
MAF,2021-02-17 05:53,M
MAF,2021-02-17 06:53,3.45
MAF,2021-02-17 07:53,6.90
MAF,2021-02-17 08:53,5.75
MAF,2021-02-17 09:03,8.05
MAF,2021-02-17 09:12,8.05
MAF,2021-02-17 09:53,9.20
MAF,2021-02-17 09:55,11.50
MAF,2021-02-17 10:03,11.50
MAF,2021-02-17 10:51,9.20
MAF,2021-02-17 10:53,9.20
MAF,2021-02-17 11:16,12.65
MAF,2021-02-17 11:53,11.50
MAF,2021-02-17 12:53,14.95
MAF,2021-02-17 13:53,11.50
MAF,2021-02-17 14:53,11.50
MAF,2021-02-17 15:53,11.50
MAF,2021-02-17 16:00,11.50
MAF,2021-02-17 16:53,9.20
MAF,2021-02-17 17:48,9.20
MAF,2021-02-17 17:53,10.35
MAF,2021-02-17 18:53,9.20
MAF,2021-02-17 19:53,10.35
MAF,2021-02-17 20:53,9.20
MAF,2021-02-17 21:53,10.35
MAF,2021-02-17 22:53,9.20
MAF,2021-02-17 23:53,11.50
MAF,2021-02-18 00:53,10.35
MAF,2021-02-18 01:53,8.05
MAF,2021-02-18 02:53,13.80
MAF,2021-02-18 03:27,14.95
MAF,2021-02-18 03:53,14.95
MAF,2021-02-18 04:53,11.50
MAF,2021-02-18 05:29,10.35
MAF,2021-02-18 05:53,11.50
MAF,2021-02-18 06:13,11.50
MAF,2021-02-18 06:29,10.35
MAF,2021-02-18 06:53,11.50
MAF,2021-02-18 07:23,16.10
MAF,2021-02-18 07:35,12.65
MAF,2021-02-18 07:53,16.10
MAF,2021-02-18 08:08,16.10
MAF,2021-02-18 08:43,13.80
MAF,2021-02-18 08:53,11.50
MAF,2021-02-18 09:53,16.10
MAF,2021-02-18 10:53,12.65
MAF,2021-02-18 11:00,14.95
MAF,2021-02-18 11:53,18.40
MAF,2021-02-18 12:53,17.25
MAF,2021-02-18 13:42,16.10
MAF,2021-02-18 13:53,16.10
MAF,2021-02-18 14:34,12.65
MAF,2021-02-18 14:53,17.25
MAF,2021-02-18 15:53,13.80
MAF,2021-02-18 16:53,12.65
MAF,2021-02-18 17:53,12.65
MAF,2021-02-18 18:00,13.80
MAF,2021-02-18 18:53,10.35
MAF,2021-02-18 19:53,6.90
MAF,2021-02-18 20:53,9.20
MAF,2021-02-18 21:53,10.35
MAF,2021-02-18 22:53,8.05
MAF,2021-02-18 23:53,9.20
MAF,2021-02-19 00:21,5.75
MAF,2021-02-19 00:53,3.45
MAF,2021-02-19 01:53,0.00
MAF,2021-02-19 02:53,0.00
MAF,2021-02-19 03:53,6.90
MAF,2021-02-19 04:53,6.90
MAF,2021-02-19 05:53,5.75
MAF,2021-02-19 06:53,3.45
MAF,2021-02-19 07:53,3.45
MAF,2021-02-19 08:53,0.00
MAF,2021-02-19 09:53,0.00
MAF,2021-02-19 10:53,3.45
MAF,2021-02-19 11:53,3.45
MAF,2021-02-19 12:53,3.45
MAF,2021-02-19 13:53,4.60
MAF,2021-02-19 14:53,4.60
MAF,2021-02-19 15:53,9.20
MAF,2021-02-19 16:53,9.20
MAF,2021-02-19 17:53,10.35
MAF,2021-02-19 18:53,9.20
MAF,2021-02-19 19:53,12.65
MAF,2021-02-19 20:53,13.80
MAF,2021-02-19 21:53,13.80
MAF,2021-02-19 22:53,16.10
MAF,2021-02-19 23:53,13.80
MAF,2021-02-20 00:53,13.80
MAF,2021-02-20 01:53,5.75
MAF,2021-02-20 02:53,6.90
MAF,2021-02-20 03:53,6.90
MAF,2021-02-20 04:53,5.75
MAF,2021-02-20 05:53,5.75
MAF,2021-02-20 06:53,4.60
MAF,2021-02-20 07:53,5.75
MAF,2021-02-20 08:53,3.45
MAF,2021-02-20 09:53,5.75
MAF,2021-02-20 10:53,5.75
MAF,2021-02-20 11:53,0.00
MAF,2021-02-20 12:53,0.00
MAF,2021-02-20 13:53,4.60
MAF,2021-02-20 14:53,9.20
MAF,2021-02-20 15:53,9.20
MAF,2021-02-20 16:53,11.50
MAF,2021-02-20 17:53,11.50
MAF,2021-02-20 18:53,16.10
MAF,2021-02-20 19:53,14.95
MAF,2021-02-20 20:53,14.95
MAF,2021-02-20 21:53,17.25
MAF,2021-02-20 22:53,19.55
MAF,2021-02-20 23:53,17.25
MAF,2021-02-21 00:53,16.10
MAF,2021-02-21 01:53,19.55
MAF,2021-02-21 02:53,18.40
MAF,2021-02-21 03:53,19.55
MAF,2021-02-21 04:53,20.70
MAF,2021-02-21 05:53,18.40
MAF,2021-02-21 06:53,17.25
MAF,2021-02-21 07:53,16.10
MAF,2021-02-21 08:53,11.50
MAF,2021-02-21 09:53,9.20
MAF,2021-02-21 10:53,11.50
MAF,2021-02-21 11:53,12.65
MAF,2021-02-21 12:53,6.90
MAF,2021-02-21 13:53,6.90
MAF,2021-02-21 14:53,9.20
MAF,2021-02-21 15:53,10.35
MAF,2021-02-21 16:53,23.00
MAF,2021-02-21 17:53,18.40
MAF,2021-02-21 18:53,14.95
MAF,2021-02-21 19:53,16.10
MAF,2021-02-21 20:53,18.40
MAF,2021-02-21 21:53,14.95
MAF,2021-02-21 22:53,18.40
MAF,2021-02-21 23:53,13.80
MAF,2021-02-22 00:53,8.05
MAF,2021-02-22 01:53,5.75
MAF,2021-02-22 02:53,8.05
MAF,2021-02-22 03:53,3.45
MAF,2021-02-22 04:53,0.00
MAF,2021-02-22 05:53,3.45
MAF,2021-02-22 06:53,5.75
MAF,2021-02-22 07:53,5.75
MAF,2021-02-22 08:53,3.45
MAF,2021-02-22 09:53,6.90
MAF,2021-02-22 10:53,0.00
MAF,2021-02-22 11:53,3.45
MAF,2021-02-22 12:53,0.00
MAF,2021-02-22 13:53,3.45
MAF,2021-02-22 14:53,5.75
MAF,2021-02-22 15:53,9.20
MAF,2021-02-22 16:53,12.65
MAF,2021-02-22 17:53,16.10
MAF,2021-02-22 18:53,21.85
MAF,2021-02-22 19:53,21.85
MAF,2021-02-22 20:53,M
MAF,2021-02-22 21:53,11.50
MAF,2021-02-22 22:53,11.50
MAF,2021-02-22 23:53,13.80
MAF,2021-02-23 00:53,8.05
MAF,2021-02-23 01:53,5.75
MAF,2021-02-23 02:53,4.60
MAF,2021-02-23 03:53,4.60
MAF,2021-02-23 04:53,8.05
MAF,2021-02-23 05:53,9.20
MAF,2021-02-23 06:53,8.05
MAF,2021-02-23 07:53,5.75
MAF,2021-02-23 08:53,4.60
MAF,2021-02-23 09:53,8.05
MAF,2021-02-23 10:53,3.45
MAF,2021-02-23 11:53,8.05
MAF,2021-02-23 12:53,9.20
MAF,2021-02-23 13:53,6.90
MAF,2021-02-23 14:53,5.75
MAF,2021-02-23 15:53,5.75
MAF,2021-02-23 16:53,10.35
MAF,2021-02-23 17:53,14.95
MAF,2021-02-23 18:53,16.10
MAF,2021-02-23 19:53,18.40
MAF,2021-02-23 20:53,21.85
MAF,2021-02-23 21:53,19.55
MAF,2021-02-23 22:53,18.40
MAF,2021-02-23 23:53,14.95
MAF,2021-02-24 00:53,14.95
MAF,2021-02-24 01:53,11.50
MAF,2021-02-24 02:53,14.95
MAF,2021-02-24 03:53,12.65
MAF,2021-02-24 04:53,10.35
MAF,2021-02-24 05:53,14.95
MAF,2021-02-24 06:53,9.20
MAF,2021-02-24 07:53,9.20
MAF,2021-02-24 08:53,4.60
MAF,2021-02-24 09:53,11.50
MAF,2021-02-24 10:53,10.35
MAF,2021-02-24 11:53,11.50
MAF,2021-02-24 12:53,8.05
MAF,2021-02-24 13:53,9.20
MAF,2021-02-24 14:53,13.80
MAF,2021-02-24 15:53,19.55
MAF,2021-02-24 16:53,17.25
MAF,2021-02-24 17:53,11.50
MAF,2021-02-24 18:53,10.35
MAF,2021-02-24 19:53,5.75
MAF,2021-02-24 20:53,3.45
MAF,2021-02-24 21:53,5.75
MAF,2021-02-24 22:53,3.45
MAF,2021-02-24 23:53,9.20
MAF,2021-02-25 00:53,6.90
MAF,2021-02-25 01:53,12.65
MAF,2021-02-25 02:53,14.95
MAF,2021-02-25 03:53,17.25
MAF,2021-02-25 04:53,16.10
MAF,2021-02-25 05:53,13.80
MAF,2021-02-25 06:53,16.10
MAF,2021-02-25 07:53,13.80
