"","wind_speed_LGF","wind_speed_NYL","wind_speed_NOZ","wind_speed_ODO","wind_speed_MAF","wind_speed_MDD"
"448",8.625,13.8,11.5,18.4,12.65,16.675
"449",10.925,8.625,3.45,14.375,12.65,14.375
"450",0,4.025,4.025,10.35,9.2,12.075
"451",2.3,2.3,5.75,8.625,9.2,12.65
"452",3.45,2.875,4.6,9.775,10.925,12.075
"453",16.675,8.625,4.025,8.625,9.2,11.5
"454",13.225,10.35,5.4625,8.625,8.05,9.2
"455",10.925,6.9,7.475,12.075,16.675,14.95
"456",13.8,10.925,10.35,17.825,21.85,19.55
"457",14.95,13.8,13.225,14.95,17.25,17.25
"458",16.675,12.65,13.225,15.525,15.525,16.675
"459",10.925,10.35,5.75,9.2,16.1,14.95
"460",10.925,3.45,5.75,6.325,12.65,13.8
"461",2.875,2.875,5.75,4.025,2.3,6.325
"462",0,0,7.475,5.175,0,7.475
"463",5.75,4.6,9.2,2.875,4.6,1.725
"464",0,3.45,6.9,4.025,3.45,0
"465",0,2.3,4.6,9.2,10.35,8.625
"466",0,2.875,5.175,12.65,10.35,11.5
"467",12.075,9.775,8.05,16.675,18.4,16.1
"468",12.65,10.925,12.65,18.975,23,18.4
"469",8.05,4.025,3.45,20.7,16.1,18.975
"470",1.725,1.725,5.75,17.25,16.1,16.675
"471",4.025,1.725,1.725,12.075,12.075,12.075
"472",8.05,6.9,4.025,10.925,8.625,10.35
"473",4.6,7.475,6.325,15.525,13.225,12.075
"474",0,5.175,6.325,14.95,19.55,16.675
"475",0,1.725,2.3,16.1,17.25,15.525
"476",2.3,4.6,1.725,18.4,23.575,16.1
"477",4.025,6.325,6.325,17.25,21.85,18.975
"478",5.175,5.75,5.175,20.7,20.125,18.4
"479",9.2,8.05,3.45,17.825,21.85,17.25
"480",13.225,13.225,12.075,20.125,21.85,18.975
"481",12.075,9.775,10.925,13.225,14.375,15.525
"482",6.325,9.775,12.65,10.925,15.525,14.375
"483",12.075,8.625,6.9,9.2,8.625,9.775
"484",9.775,10.35,4.6,9.775,8.625,10.35
"485",8.625,5.175,2.3,9.2,9.2,9.2
"486",3.45,4.025,1.725,14.375,17.825,13.8
"487",7.475,6.9,5.175,14.95,19.55,17.25
"488",8.05,9.2,6.9,19.55,20.7,19.55
"489",11.5,10.925,9.775,26.45,27.025,21.275
"490",18.975,6.325,9.2,27.6,28.75,24.15
"491",16.675,14.375,13.8,26.45,27.6,25.3
"492",18.975,13.225,24.15,21.85,17.25,17.25
"493",17.25,12.65,13.225,18.4,17.825,18.4
"494",9.775,8.625,9.775,21.85,20.7,20.7
"495",11.5,8.625,9.2,18.4,17.825,21.275
"496",5.75,8.625,9.775,12.075,14.375,16.675
"497",3.45,8.625,8.625,6.325,8.625,12.65
"498",0,5.175,7.475,11.5,7.475,8.05
"499",2.3,6.325,9.2,13.225,14.95,10.35
"500",2.3,1.725,9.2,19.55,20.7,18.4
"501",6.9,3.45,11.5,29.325,27.6,25.875
"502",9.775,6.9,8.625,27.025,31.05,28.75
"503",12.075,6.325,9.775,27.6,32.2,28.175
"504",10.35,12.075,10.35,27.6,26.45,25.3
"505",8.625,6.9,8.625,21.85,20.7,18.4
"506",8.625,9.2,10.35,12.075,17.825,15.525
"507",8.05,8.625,11.5,9.2,11.5,13.225
"508",6.9,5.75,11.5,6.9,9.2,9.775
"509",5.175,6.9,9.2,7.475,8.625,9.2
"510",0,4.025,5.75,10.35,14.375,13.225
"511",0,1.725,4.025,14.375,14.95,11.5
"512",0,1.725,4.6,14.375,16.1,14.95
